##设备信息
设备名称,SyntheticMultiLayout 12x8
行数,12
列数,8
数据点数,48
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月11日_16时00分00秒
噪声描述,mode=membrane_like noise_std=1.5
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96
16时0分0秒.650,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,3,3,5,6,5,3,0,0,3,7,12,14,12,7,3,0,5,12,20,24,20,12,5,1,6,14,24,28,24,14,6,0,5,12,20,24,20,12,5,2,3,7,12,14,12,7,3,2,0,3,5,6,5,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分0秒.700,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,3,5,6,5,3,0,0,3,7,12,15,12,7,3,2,5,12,21,25,21,12,5,1,6,15,25,30,25,15,6,0,5,12,21,25,21,12,5,0,3,7,12,15,12,7,3,1,2,3,5,6,5,3,4,0,0,2,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分0秒.750,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,5,6,5,3,2,0,3,8,13,16,13,8,3,0,5,13,23,27,23,13,5,1,6,16,27,32,27,16,6,3,5,13,23,27,23,13,5,1,3,8,13,16,13,8,3,0,2,3,5,6,5,3,3,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分0秒.800,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,3,6,7,6,3,0,0,3,8,14,17,14,8,3,2,6,14,24,28,24,14,6,1,7,17,28,34,28,17,7,2,6,14,24,28,24,14,6,2,3,8,14,17,14,8,3,1,0,3,6,7,6,3,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分0秒.850,0,0,0,0,0,0,0,0,0,1,2,2,0,4,0,0,0,3,6,7,6,3,1,0,3,8,14,17,14,8,3,1,6,14,25,29,25,14,6,4,7,17,29,35,29,17,7,2,6,14,25,29,25,14,6,1,3,8,14,17,14,8,3,1,3,3,6,7,6,3,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分0秒.900,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,6,7,6,3,2,0,3,9,15,18,15,9,3,2,6,15,26,30,26,15,6,1,7,18,30,36,30,18,7,2,6,15,26,30,26,15,6,1,3,9,15,18,15,9,3,2,4,3,6,7,6,3,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分0秒.950,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,5,3,6,7,6,3,0,0,3,9,15,18,15,9,3,2,6,15,26,31,26,15,6,4,7,18,31,37,31,18,7,3,6,15,26,31,26,15,6,4,3,9,15,18,15,9,3,1,1,3,6,7,6,3,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.000,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,0,1,4,6,8,6,4,4,0,4,9,16,19,16,9,4,5,6,16,27,32,27,16,6,2,8,19,32,38,32,19,8,2,6,16,27,32,27,16,6,2,4,9,16,19,16,9,4,3,2,4,6,8,6,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.050,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,8,6,4,2,0,4,9,16,19,16,9,4,0,6,16,27,33,27,16,6,2,8,19,33,39,33,19,8,0,6,16,27,33,27,16,6,2,4,9,16,19,16,9,4,2,3,4,6,8,6,4,1,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,7,8,7,4,2,0,4,9,16,19,16,9,4,2,7,16,28,33,28,16,7,2,8,19,33,39,33,19,8,2,7,16,28,33,28,16,7,3,4,9,16,19,16,9,4,1,0,4,7,8,7,4,2,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.150,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,4,7,8,7,4,0,0,4,10,16,20,16,10,4,0,7,16,28,33,28,16,7,1,8,20,33,39,33,20,8,4,7,16,28,33,28,16,7,4,4,10,16,20,16,10,4,1,3,4,7,8,7,4,1,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.200,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,6,4,7,8,7,4,3,0,4,10,16,20,16,10,4,0,7,16,28,33,28,16,7,1,8,20,33,39,33,20,8,2,7,16,28,33,28,16,7,0,4,10,16,20,16,10,4,2,0,4,7,8,7,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.250,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,3,4,7,8,7,4,4,0,4,9,16,19,16,9,4,0,7,16,28,33,28,16,7,3,8,19,33,39,33,19,8,3,7,16,28,33,28,16,7,2,4,9,16,19,16,9,4,2,2,4,7,8,7,4,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.300,0,0,0,0,0,0,0,0,0,2,0,3,4,3,0,0,2,4,6,8,6,4,2,0,4,9,16,19,16,9,4,0,6,16,27,33,27,16,6,2,8,19,33,39,33,19,8,2,6,16,27,33,27,16,6,2,4,9,16,19,16,9,4,3,1,4,6,8,6,4,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.350,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,4,6,8,6,4,1,0,4,9,16,19,16,9,4,0,6,16,27,32,27,16,6,0,8,19,32,38,32,19,8,1,6,16,27,32,27,16,6,0,4,9,16,19,16,9,4,1,2,4,6,8,6,4,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.400,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,1,3,6,7,6,3,0,0,3,9,15,18,15,9,3,1,6,15,26,31,26,15,6,2,7,18,31,37,31,18,7,2,6,15,26,31,26,15,6,1,3,9,15,18,15,9,3,0,1,3,6,7,6,3,4,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.450,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,3,6,7,6,3,2,0,3,9,15,18,15,9,3,1,6,15,26,30,26,15,6,2,7,18,30,36,30,18,7,2,6,15,26,30,26,15,6,1,3,9,15,18,15,9,3,2,3,3,6,7,6,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.500,0,0,0,0,0,0,0,0,0,2,3,3,0,3,0,0,0,3,6,7,6,3,1,0,3,8,14,17,14,8,3,0,6,14,25,29,25,14,6,0,7,17,29,35,29,17,7,3,6,14,25,29,25,14,6,2,3,8,14,17,14,8,3,0,0,3,6,7,6,3,2,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.550,0,0,0,0,0,0,0,0,0,1,3,4,0,1,0,0,1,3,6,7,6,3,0,0,3,8,14,17,14,8,3,1,6,14,24,28,24,14,6,1,7,17,28,34,28,17,7,0,6,14,24,28,24,14,6,2,3,8,14,17,14,8,3,1,3,3,6,7,6,3,2,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.600,0,0,0,0,0,0,0,0,0,5,0,4,0,1,0,0,0,3,5,6,5,3,2,0,3,8,13,16,13,8,3,0,5,13,23,27,23,13,5,0,6,16,27,32,27,16,6,2,5,13,23,27,23,13,5,1,3,8,13,16,13,8,3,0,0,3,5,6,5,3,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.650,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,3,5,6,5,3,1,0,3,7,12,15,12,7,3,0,5,12,21,25,21,12,5,1,6,15,25,30,25,15,6,1,5,12,21,25,21,12,5,0,3,7,12,15,12,7,3,1,0,3,5,6,5,3,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.700,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,3,5,6,5,3,1,0,3,7,12,14,12,7,3,1,5,12,20,24,20,12,5,1,6,14,24,28,24,14,6,3,5,12,20,24,20,12,5,0,3,7,12,14,12,7,3,1,4,3,5,6,5,3,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.750,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,4,5,4,2,2,0,2,6,11,13,11,6,2,1,4,11,19,22,19,11,4,1,5,13,22,26,22,13,5,3,4,11,19,22,19,11,4,1,2,6,11,13,11,6,2,2,1,2,4,5,4,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.800,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,2,4,5,4,2,1,0,2,6,10,12,10,6,2,0,4,10,17,20,17,10,4,1,5,12,20,24,20,12,5,0,4,10,17,20,17,10,4,1,2,6,10,12,10,6,2,2,1,2,4,5,4,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.850,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,4,3,2,0,0,2,5,9,11,9,5,2,1,3,9,15,18,15,9,3,0,4,11,18,22,18,11,4,2,3,9,15,18,15,9,3,1,2,5,9,11,9,5,2,0,0,2,3,4,3,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.900,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,2,3,4,3,2,2,0,2,5,8,10,8,5,2,1,3,8,14,16,14,8,3,1,4,10,16,20,16,10,4,2,3,8,14,16,14,8,3,0,2,5,8,10,8,5,2,0,0,2,3,4,3,2,2,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分1秒.950,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,3,3,3,1,0,0,1,4,7,8,7,4,1,0,3,7,12,14,12,7,3,2,3,8,14,17,14,8,3,3,3,7,12,14,12,7,3,4,1,4,7,8,7,4,1,3,0,1,3,3,3,1,0,0,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.000,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,3,2,1,3,0,1,3,6,7,6,3,1,2,2,6,10,12,10,6,2,0,3,7,12,15,12,7,3,1,2,6,10,12,10,6,2,0,1,3,6,7,6,3,1,1,0,1,2,3,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.050,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,2,2,2,1,2,0,1,3,5,6,5,3,1,2,2,5,9,10,9,5,2,0,2,6,10,12,10,6,2,0,2,5,9,10,9,5,2,3,1,3,5,6,5,3,1,0,4,1,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.100,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,2,1,1,0,0,1,2,4,5,4,2,1,3,1,4,7,8,7,4,1,1,2,5,8,10,8,5,2,2,1,4,7,8,7,4,1,2,1,2,4,5,4,2,1,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.150,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,1,1,0,0,0,0,2,3,4,3,2,0,0,1,3,5,6,5,3,1,1,1,4,6,8,6,4,1,0,1,3,5,6,5,3,1,0,0,2,3,4,3,2,0,0,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.200,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,2,0,0,1,2,2,2,1,0,0,1,2,4,4,4,2,1,2,1,2,4,5,4,2,1,1,1,2,4,4,4,2,1,0,0,1,2,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,2,2,1,0,0,0,1,2,3,2,1,0,0,0,1,2,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16时0分2秒.350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
