##设备信息
设备名称,SyntheticMultiLayout 12x8
行数,12
列数,8
数据点数,48
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月11日_16时00分00秒
噪声描述,mode=glove_like noise_std=0.8
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96
16时0分0秒.500,8,9,8,7,6,10,7,9,10,4,10,8,8,5,10,8,8,11,10,8,8,8,9,6,8,11,11,15,18,9,12,11,11,15,22,21,16,15,9,12,6,13,23,22,20,12,10,9,9,15,16,21,14,13,10,10,10,12,13,16,15,10,8,9,11,11,10,7,15,10,9,5,5,8,11,7,9,6,7,9,7,6,7,6,6,4,6,10,7,11,8,10,6,12,7,3
16时0分0秒.550,9,8,9,9,6,13,6,10,12,3,11,8,7,4,8,10,8,12,11,9,10,8,9,6,9,12,13,15,17,10,13,9,11,15,22,22,17,15,9,11,7,13,21,22,20,13,13,10,10,15,17,22,14,14,8,9,9,11,14,16,15,8,10,8,10,10,10,8,14,9,9,5,5,6,10,7,9,5,6,10,6,6,9,7,6,5,5,9,7,10,9,9,5,10,9,6
16时0分0秒.600,7,11,7,8,8,10,8,10,9,3,10,8,9,6,9,9,8,10,9,9,8,9,10,6,9,13,13,16,20,10,13,10,13,14,23,23,19,15,8,12,8,13,24,26,23,13,12,8,9,15,17,25,18,14,12,10,9,12,12,17,15,10,7,8,10,11,12,9,14,9,9,8,4,8,9,8,8,6,6,8,7,5,8,6,7,5,5,9,7,10,8,7,6,10,8,5
16时0分0秒.650,7,8,8,8,7,10,8,11,8,3,10,7,7,5,9,9,8,11,11,10,8,8,8,7,9,13,14,17,18,9,12,10,12,15,22,23,20,15,9,14,7,13,24,28,23,14,11,9,10,16,18,24,18,14,11,12,8,11,15,18,17,11,9,9,10,11,10,9,14,11,8,6,4,7,10,9,9,6,8,8,6,6,8,6,6,3,6,10,7,11,6,10,3,11,7,3
16时0分0秒.700,8,9,7,8,7,9,8,11,10,4,9,7,8,5,9,9,8,10,10,10,9,10,7,8,9,13,16,19,19,10,13,10,12,16,24,26,21,16,10,12,8,14,25,29,22,14,11,9,9,17,18,27,17,15,10,11,11,11,15,19,16,9,8,11,12,11,11,8,16,10,8,5,6,9,10,8,9,7,8,10,5,4,9,8,6,5,7,11,8,10,7,11,5,9,7,4
16时0分0秒.750,7,9,8,7,7,12,6,9,8,3,11,9,8,3,8,9,8,12,11,9,8,7,8,9,8,13,15,20,19,11,12,9,12,16,26,27,21,17,10,14,7,15,25,30,23,14,11,10,8,18,19,26,18,15,11,11,8,14,16,18,18,11,9,11,9,11,11,8,15,9,8,5,5,8,11,7,7,7,7,9,5,6,7,6,6,4,4,9,7,10,8,9,6,9,8,5
16时0分0秒.800,9,11,8,7,6,10,7,11,10,3,10,8,9,4,11,9,9,12,10,10,10,9,9,8,9,14,16,20,20,9,13,9,13,17,25,27,23,16,10,12,7,16,29,30,25,16,11,9,9,17,20,25,19,18,12,10,9,12,15,19,16,11,8,10,11,11,12,9,15,10,7,5,5,7,10,9,9,6,7,9,7,7,8,7,7,4,3,11,8,9,8,9,5,10,7,3
16时0分0秒.850,8,7,9,7,7,11,6,9,9,4,10,8,8,5,8,9,8,12,9,10,8,8,8,7,9,14,16,19,21,13,14,9,12,16,26,27,22,18,9,13,9,16,28,31,26,16,12,9,10,18,20,29,19,17,11,9,11,13,17,20,18,11,10,11,10,10,12,9,17,11,9,5,4,8,11,9,9,8,7,9,6,5,7,8,7,4,5,9,6,10,7,9,6,10,6,4
16时0分0秒.900,8,9,7,9,7,11,8,9,10,5,10,8,7,6,9,8,8,12,11,11,9,8,10,7,9,13,17,20,20,12,14,10,12,17,27,29,23,16,11,13,8,16,29,31,26,16,12,10,9,19,22,28,20,17,11,11,10,14,16,20,19,12,7,10,10,11,13,8,15,10,9,5,3,7,11,9,10,7,5,9,5,4,8,6,7,4,6,9,7,9,7,10,4,10,7,4
16时0分0秒.950,8,9,6,10,8,9,8,9,10,4,11,8,8,6,10,10,11,10,11,9,11,9,9,6,9,14,15,21,21,11,12,9,15,19,28,28,23,19,11,12,8,16,29,33,27,16,12,10,9,19,22,28,21,16,12,11,8,11,16,21,18,11,9,9,11,10,13,10,16,11,9,3,4,7,10,10,10,6,6,9,7,5,8,7,6,5,4,9,9,10,7,11,5,11,7,3
16时0分1秒.000,8,9,7,8,7,11,7,9,7,5,11,9,8,5,7,7,8,12,10,9,9,9,8,6,9,16,16,19,19,12,14,10,12,17,28,30,24,17,10,14,9,19,31,34,29,15,12,10,11,18,21,30,22,16,12,10,9,13,15,21,19,11,9,10,11,11,14,10,16,11,8,6,5,7,9,7,9,7,8,9,6,6,7,7,6,5,5,10,8,11,7,9,6,10,7,5
16时0分1秒.050,9,9,8,9,8,10,6,10,10,3,10,8,7,4,8,9,9,10,12,11,11,10,9,8,8,14,16,21,21,12,13,10,13,17,28,31,25,17,12,14,9,17,30,33,28,18,12,9,11,19,23,30,21,18,12,10,10,14,17,20,18,11,9,9,11,11,13,9,15,9,8,5,5,7,11,9,10,6,8,10,5,5,7,8,8,3,4,10,8,8,7,8,6,11,6,3
16时0分1秒.100,6,9,8,9,7,10,8,12,9,3,10,8,7,3,10,8,8,11,9,11,8,9,7,6,9,15,17,21,21,11,15,10,14,18,28,30,24,16,12,12,10,18,30,34,30,17,13,10,10,19,23,29,21,16,10,10,10,12,17,21,19,12,9,10,11,11,13,10,15,10,10,5,5,6,10,8,10,6,7,9,7,7,9,7,5,4,6,10,7,10,7,10,4,11,8,4
16时0分1秒.150,7,8,9,7,7,11,6,10,10,3,9,9,7,6,10,10,7,11,11,11,10,9,9,8,8,14,16,22,23,12,13,10,14,19,28,31,24,19,11,13,9,17,31,33,29,17,13,12,11,18,23,29,22,17,11,9,9,14,16,22,19,11,10,9,11,11,13,9,13,9,9,5,4,10,10,8,10,5,7,8,6,6,7,6,6,3,5,9,8,9,9,11,7,11,8,4
16时0分1秒.200,8,8,7,8,6,11,7,9,8,4,10,8,6,5,10,8,8,11,11,11,8,10,11,7,10,13,17,21,22,13,13,11,13,18,28,31,25,18,11,13,9,16,30,33,29,16,14,11,10,18,23,30,21,18,12,11,9,14,18,20,18,11,9,10,11,10,13,10,16,10,10,6,3,6,10,8,10,7,6,11,7,6,9,8,6,3,6,10,7,10,8,9,4,11,7,3
16时0分1秒.250,8,9,9,10,7,11,7,11,9,3,10,8,8,5,9,10,8,11,10,9,9,9,9,8,9,13,17,21,21,12,14,10,13,18,28,29,24,18,10,13,10,16,31,33,29,18,14,9,9,18,22,28,21,18,12,11,9,13,17,21,20,12,9,9,11,11,12,9,17,11,8,4,5,6,10,9,10,7,7,10,6,6,8,6,7,4,6,10,7,9,9,9,4,9,9,4
16时0分1秒.300,8,10,8,9,7,11,8,10,10,4,9,9,7,6,9,8,8,11,10,10,10,10,8,7,9,15,18,21,22,11,13,9,12,19,29,31,24,19,11,13,8,16,30,35,29,17,13,9,9,18,21,29,21,18,10,10,10,15,17,21,18,14,8,9,12,12,13,11,15,11,8,5,6,6,9,9,8,5,6,9,6,6,6,6,7,2,6,9,8,9,7,10,5,10,7,4
16时0分1秒.350,7,10,7,7,8,11,5,10,9,4,9,10,9,4,10,10,8,10,10,10,10,9,10,7,9,14,15,20,21,12,14,8,14,18,27,30,22,19,11,14,9,19,29,31,28,17,13,10,8,19,22,30,20,17,11,10,11,14,16,21,18,13,9,11,11,11,12,9,15,10,9,5,6,8,9,8,9,7,7,11,6,6,8,7,7,5,5,12,9,11,8,8,5,11,8,4
16时0分1秒.400,7,11,7,8,6,12,8,9,10,4,10,9,8,5,8,8,8,10,10,11,9,9,9,7,10,13,16,21,20,11,12,10,13,18,27,29,23,16,10,14,9,16,29,33,28,17,12,10,9,17,23,30,21,17,11,10,11,15,18,20,18,13,8,8,9,11,13,9,15,10,9,5,4,8,10,9,9,6,7,10,5,6,9,7,6,4,6,10,7,10,8,9,4,9,6,5
16时0分1秒.450,8,7,8,9,7,11,6,10,9,6,10,8,8,5,11,7,9,11,10,9,8,9,9,7,7,12,16,19,20,12,13,10,12,17,28,27,24,15,10,14,8,15,31,31,27,16,12,10,11,18,21,27,19,17,11,10,8,12,17,21,19,13,8,10,11,12,13,10,15,9,7,6,4,8,9,7,9,7,7,10,6,5,8,6,5,5,6,10,8,9,7,8,5,10,8,4
16时0分1秒.500,8,9,8,8,7,10,9,10,10,3,11,8,8,4,8,9,9,12,10,10,9,9,10,8,8,14,14,19,20,11,14,12,11,15,28,28,22,17,11,12,8,17,29,32,28,16,12,9,10,16,22,27,19,17,11,9,9,14,16,21,18,11,9,9,11,10,12,8,15,9,9,5,5,10,9,8,10,6,7,9,5,5,7,7,6,4,6,11,7,11,7,9,5,12,7,4
16时0分1秒.550,8,9,8,8,7,10,7,10,9,3,10,10,9,3,9,10,9,11,12,10,7,9,8,6,9,12,15,20,20,11,14,10,11,16,26,27,23,17,12,13,9,17,28,31,25,15,12,12,8,18,21,28,19,16,12,10,11,14,15,20,19,11,10,9,10,12,13,10,15,11,8,7,4,8,10,8,8,6,7,10,7,7,7,6,6,4,5,9,10,11,8,9,6,11,7,3
16时0分1秒.600,7,9,8,9,6,10,7,10,10,3,11,9,9,3,9,8,8,11,11,10,9,9,9,7,8,14,15,19,19,11,13,10,13,16,26,27,20,18,10,12,7,16,26,29,24,15,12,10,10,15,19,26,18,15,11,12,10,13,14,20,17,11,10,10,10,11,12,8,15,10,9,5,5,7,8,7,9,5,5,10,5,5,8,7,5,3,4,11,6,11,7,10,5,11,7,5
16时0分1秒.650,8,9,7,8,8,12,9,11,9,3,9,7,8,3,9,8,8,10,9,7,8,9,10,6,8,14,14,17,21,10,14,10,12,16,24,23,20,15,9,12,7,14,25,27,24,15,11,8,9,16,20,25,17,14,10,9,8,10,15,18,17,11,9,9,10,10,12,9,16,9,8,5,5,8,9,7,10,5,6,10,7,6,9,8,6,5,5,8,7,10,8,10,5,12,6,4
16时0分1秒.700,9,9,8,8,8,12,7,11,10,5,10,8,7,4,9,9,9,11,10,7,10,9,7,9,8,14,14,16,17,11,13,8,12,15,23,25,19,16,8,14,7,14,25,26,22,15,11,11,9,16,18,24,17,14,10,9,9,11,14,16,16,10,9,10,10,11,11,8,13,9,7,6,4,5,11,8,9,5,7,10,4,6,8,7,6,4,5,10,8,11,8,9,6,11,7,3
16时0分1秒.750,8,9,8,8,8,10,7,10,9,4,10,8,8,3,9,10,8,11,10,8,9,9,10,6,9,12,14,18,19,11,13,9,11,15,21,24,19,17,9,13,8,13,23,24,21,14,10,9,8,15,17,23,15,13,10,8,10,13,14,17,15,11,8,8,12,10,11,7,15,10,8,5,4,8,9,9,8,5,7,9,6,5,7,5,5,4,5,9,8,9,8,10,5,11,8,3
16时0分1秒.800,9,9,7,9,6,10,6,10,10,4,10,7,6,4,9,8,11,10,9,9,8,8,9,8,10,11,13,17,19,10,13,11,10,15,21,22,18,14,9,12,7,10,22,25,22,13,12,9,8,14,16,22,15,13,9,9,9,10,15,16,14,11,8,8,11,11,11,8,14,9,9,5,5,7,11,9,11,5,8,9,4,6,9,7,7,5,6,9,9,9,8,10,5,11,8,4
16时0分1秒.850,8,10,9,8,7,11,7,9,9,3,12,9,7,4,8,10,8,10,10,10,9,7,8,8,8,12,13,15,17,10,11,11,11,14,19,22,17,14,10,12,6,11,21,21,20,12,11,8,8,15,15,21,12,13,9,9,7,11,13,16,15,10,8,9,10,11,12,7,14,9,10,5,5,7,10,7,10,5,8,10,6,6,9,7,5,4,5,10,7,9,7,9,4,11,7,3
16时0分1秒.900,7,10,7,8,6,11,7,10,9,2,9,9,9,4,7,9,9,10,10,8,7,8,9,7,8,11,12,14,17,9,12,10,13,14,18,20,15,14,8,13,6,11,19,21,20,11,10,8,9,13,14,18,12,12,10,10,7,11,12,14,15,9,8,10,9,10,11,6,14,8,9,6,2,7,10,6,10,7,6,10,6,5,8,8,7,3,6,8,7,9,8,10,5,9,6,3
16时0分1秒.950,7,10,8,7,8,9,7,10,9,4,9,7,7,3,9,8,8,11,8,9,6,7,9,6,8,11,11,15,16,8,13,10,12,15,18,17,14,14,8,11,6,10,19,20,17,11,10,11,7,13,13,18,11,11,8,10,8,12,12,14,13,10,5,9,12,10,11,7,13,8,9,5,4,6,10,7,9,5,7,8,6,4,8,7,7,4,4,10,8,10,7,9,7,11,8,4
16时0分2秒.000,7,10,7,8,7,11,9,11,10,2,10,7,6,5,9,9,10,10,9,8,8,8,8,8,8,11,11,15,15,9,12,9,11,12,19,15,13,11,7,12,5,9,19,17,16,10,12,10,6,12,12,16,10,11,8,9,10,11,11,15,13,9,9,10,10,10,10,8,13,8,9,4,4,9,9,8,8,6,7,10,6,5,8,6,6,5,5,9,7,10,8,11,5,11,10,3
16时0分2秒.050,7,8,7,8,7,10,6,11,12,3,9,8,8,5,10,9,7,11,8,9,8,8,8,7,6,10,11,13,15,9,12,11,12,12,15,14,13,11,6,12,6,11,17,17,15,9,7,9,8,12,11,16,9,11,10,8,7,10,11,13,12,8,6,9,11,11,11,6,14,8,7,6,3,6,8,8,10,4,7,8,5,6,8,8,5,3,6,11,8,11,6,10,6,11,7,4
16时0分2秒.100,8,8,7,9,7,11,7,9,8,3,12,7,7,3,11,9,9,10,8,8,6,8,8,6,8,11,8,10,14,7,13,9,9,11,15,14,12,10,7,12,6,9,14,14,13,7,10,9,7,10,9,14,7,9,10,9,8,9,9,13,12,7,8,9,8,10,10,6,14,8,7,6,4,5,9,8,9,7,5,9,6,4,7,8,7,3,6,10,8,10,7,8,5,10,8,5
16时0分2秒.150,8,8,8,8,6,11,8,11,10,6,8,7,7,4,9,9,9,10,9,6,8,7,9,8,8,9,10,12,13,6,13,9,11,9,14,14,10,8,8,12,5,7,14,12,12,8,10,8,6,11,9,12,8,9,8,10,7,10,9,12,11,7,6,10,11,9,10,6,12,8,8,6,4,7,10,8,9,6,5,9,7,5,8,8,6,3,4,10,7,10,8,9,5,12,7,3
16时0分2秒.200,8,10,9,9,6,9,7,10,10,3,9,8,7,4,9,10,9,11,7,6,6,6,9,7,7,11,7,11,12,7,14,9,11,10,14,13,10,10,8,14,5,7,12,13,9,7,10,9,7,8,6,13,7,8,8,9,9,9,10,11,12,8,6,9,11,10,10,6,12,8,8,5,6,7,9,8,8,7,7,10,7,6,8,5,7,3,4,10,9,10,6,9,5,11,8,5
16时0分2秒.250,7,8,8,8,8,10,7,10,10,1,8,10,6,4,9,10,6,9,6,7,8,7,9,7,8,9,7,10,13,8,10,9,9,9,12,10,10,9,7,12,4,7,12,12,9,5,7,8,7,11,8,10,5,9,8,9,9,9,7,9,11,6,7,9,10,10,7,6,12,8,9,6,4,7,10,6,9,7,8,9,5,5,8,8,5,4,4,8,8,10,7,9,4,11,8,4
16时0分2秒.300,9,10,6,8,7,12,7,9,9,4,9,9,8,4,9,7,7,9,8,6,5,7,8,7,8,10,7,10,11,7,11,10,8,10,11,8,8,8,7,13,4,6,12,9,9,6,8,8,8,12,5,8,4,10,8,9,8,8,7,10,9,7,7,8,10,9,9,6,11,7,7,5,4,7,9,7,9,6,7,9,7,5,8,5,7,4,5,10,9,10,7,9,5,9,9,5
16时0分2秒.350,6,10,9,7,7,10,7,10,8,3,11,8,8,4,10,8,6,8,7,7,6,7,10,8,7,9,6,8,11,6,11,9,10,9,11,7,6,8,6,12,3,4,8,8,7,6,9,9,6,8,6,8,5,9,8,9,7,9,8,10,10,7,8,8,11,9,8,5,12,7,9,6,5,8,8,7,9,7,7,8,5,5,7,9,7,5,5,10,8,10,8,9,5,12,6,4
